"","Industry","stat","year","value"
"646","HIGH TECH MANUFACTURING","Salary","2015",123534
"647","HIGH TECH MANUFACTURING","Salary","2016",122053
"648","HIGH TECH MANUFACTURING","Salary","2017",127482
"649","HIGH TECH MANUFACTURING","Salary","2018",127895
"650","HIGH TECH MANUFACTURING","Salary","2019",141476
"651","HIGH TECH MANUFACTURING","Salary","2020",146171
"652","HIGH TECH NONMANUFACTURING","Salary","1990",36618
"653","HIGH TECH NONMANUFACTURING","Salary","1991",37149
"654","HIGH TECH NONMANUFACTURING","Salary","1992",39696
"655","HIGH TECH NONMANUFACTURING","Salary","1993",40635
"656","HIGH TECH NONMANUFACTURING","Salary","1994",42775
"657","HIGH TECH NONMANUFACTURING","Salary","1995",45737
"658","HIGH TECH NONMANUFACTURING","Salary","1996",48622
"659","HIGH TECH NONMANUFACTURING","Salary","1997",57017
"660","HIGH TECH NONMANUFACTURING","Salary","1998",76060
"661","HIGH TECH NONMANUFACTURING","Salary","1999",96228
"662","HIGH TECH NONMANUFACTURING","Salary","2000",91287
"663","HIGH TECH NONMANUFACTURING","Salary","2001",84487
"664","HIGH TECH NONMANUFACTURING","Salary","2002",71945
"665","HIGH TECH NONMANUFACTURING","Salary","2003",74374
"666","HIGH TECH NONMANUFACTURING","Salary","2004",77476
"667","HIGH TECH NONMANUFACTURING","Salary","2005",80030
"668","HIGH TECH NONMANUFACTURING","Salary","2006",80571
"669","HIGH TECH NONMANUFACTURING","Salary","2007",83995
"670","HIGH TECH NONMANUFACTURING","Salary","2008",85485
"671","HIGH TECH NONMANUFACTURING","Salary","2009",88098
"672","HIGH TECH NONMANUFACTURING","Salary","2010",90304
"673","HIGH TECH NONMANUFACTURING","Salary","2011",92325
"674","HIGH TECH NONMANUFACTURING","Salary","2012",95395
"675","HIGH TECH NONMANUFACTURING","Salary","2013",91611
"676","HIGH TECH NONMANUFACTURING","Salary","2014",94810
"677","HIGH TECH NONMANUFACTURING","Salary","2015",97911
"678","HIGH TECH NONMANUFACTURING","Salary","2016",101881
"679","HIGH TECH NONMANUFACTURING","Salary","2017",109129
"680","HIGH TECH NONMANUFACTURING","Salary","2018",118066
"681","HIGH TECH NONMANUFACTURING","Salary","2019",123276
"682","HIGH TECH NONMANUFACTURING","Salary","2020",133783
"683","High tech energy","Salary","1990",32191
"684","High tech energy","Salary","1991",34066
"685","High tech energy","Salary","1992",36570
"686","High tech energy","Salary","1993",37316
"687","High tech energy","Salary","1994",39442
"688","High tech energy","Salary","1995",40434
"689","High tech energy","Salary","1996",41559
"690","High tech energy","Salary","1997",42833
"691","High tech energy","Salary","1998",45055
"692","High tech energy","Salary","1999",46216
"693","High tech energy","Salary","2000",47612
"694","High tech energy","Salary","2001",51678
"695","High tech energy","Salary","2002",55727
"696","High tech energy","Salary","2003",59961
"697","High tech energy","Salary","2004",61134
"698","High tech energy","Salary","2005",90518
"699","High tech energy","Salary","2006",93929
"700","High tech energy","Salary","2007",97458
"701","High tech energy","Salary","2008",94339
"702","High tech energy","Salary","2009",95423
"703","High tech energy","Salary","2010",110400
"704","High tech energy","Salary","2011",109716
"705","High tech energy","Salary","2012",129803
"706","High tech energy","Salary","2013",117073
"707","High tech energy","Salary","2014",122957
"708","High tech energy","Salary","2015",125225
"709","High tech energy","Salary","2016",121905
"710","High tech energy","Salary","2017",126174
"711","High tech energy","Salary","2018",138144
"712","High tech energy","Salary","2019",156586
"713","High tech energy","Salary","2020",177637
"714","High tech trade","Salary","1990",44732
"715","High tech trade","Salary","1991",39843
"716","High tech trade","Salary","1992",39762
"717","High tech trade","Salary","1993",38618
"718","High tech trade","Salary","1994",45512
"719","High tech trade","Salary","1995",51543
"720","High tech trade","Salary","1996",53091
"721","High tech trade","Salary","1997",82127
"722","High tech trade","Salary","1998",152328
"723","High tech trade","Salary","1999",195150
"724","High tech trade","Salary","2000",159287
"725","High tech trade","Salary","2001",129299
"726","High tech trade","Salary","2002",87165
"727","High tech trade","Salary","2003",92865
"728","High tech trade","Salary","2004",98413
"729","High tech trade","Salary","2005",98370
"730","High tech trade","Salary","2006",89312
"731","High tech trade","Salary","2007",98850
"732","High tech trade","Salary","2008",101597
"733","High tech trade","Salary","2009",106626
"734","High tech trade","Salary","2010",96973
"735","High tech trade","Salary","2011",101408
"736","High tech trade","Salary","2012",101884
"737","High tech trade","Salary","2013",90534
"738","High tech trade","Salary","2014",90345
"739","High tech trade","Salary","2015",92815
"740","High tech trade","Salary","2016",95042
"741","High tech trade","Salary","2017",107826
"742","High tech trade","Salary","2018",116906
"743","High tech trade","Salary","2019",127188
"744","High tech trade","Salary","2020",137145
"745","High tech information & other IT","Salary","1990",36859
"746","High tech information & other IT","Salary","1991",38924
"747","High tech information & other IT","Salary","1992",42894
"748","High tech information & other IT","Salary","1993",45058
"749","High tech information & other IT","Salary","1994",46552
"750","High tech information & other IT","Salary","1995",48722
"751","High tech information & other IT","Salary","1996",51326
"752","High tech information & other IT","Salary","1997",55963
"753","High tech information & other IT","Salary","1998",61648
"754","High tech information & other IT","Salary","1999",68560
"755","High tech information & other IT","Salary","2000",73641
"756","High tech information & other IT","Salary","2001",75650
"757","High tech information & other IT","Salary","2002",73569
"758","High tech information & other IT","Salary","2003",75008
"759","High tech information & other IT","Salary","2004",76836
"760","High tech information & other IT","Salary","2005",78344
"761","High tech information & other IT","Salary","2006",83668
"762","High tech information & other IT","Salary","2007",85321
"763","High tech information & other IT","Salary","2008",87772
"764","High tech information & other IT","Salary","2009",86656
"765","High tech information & other IT","Salary","2010",91743
"766","High tech information & other IT","Salary","2011",90869
"767","High tech information & other IT","Salary","2012",94750
"768","High tech information & other IT","Salary","2013",96797
"769","High tech information & other IT","Salary","2014",99226
"770","High tech information & other IT","Salary","2015",102989
"771","High tech information & other IT","Salary","2016",108872
"772","High tech information & other IT","Salary","2017",113983
"773","High tech information & other IT","Salary","2018",123363
"774","High tech information & other IT","Salary","2019",126752
"775","High tech information & other IT","Salary","2020",137117
"776","Engineering, R&D, Labs/Testing & Other","Salary","1990",34201
"777","Engineering, R&D, Labs/Testing & Other","Salary","1991",35713
"778","Engineering, R&D, Labs/Testing & Other","Salary","1992",37861
"779","Engineering, R&D, Labs/Testing & Other","Salary","1993",38277
"780","Engineering, R&D, Labs/Testing & Other","Salary","1994",39379
"781","Engineering, R&D, Labs/Testing & Other","Salary","1995",41924
"782","Engineering, R&D, Labs/Testing & Other","Salary","1996",44960
"783","Engineering, R&D, Labs/Testing & Other","Salary","1997",47732
"784","Engineering, R&D, Labs/Testing & Other","Salary","1998",49136
"785","Engineering, R&D, Labs/Testing & Other","Salary","1999",49291
"786","Engineering, R&D, Labs/Testing & Other","Salary","2000",53375
"787","Engineering, R&D, Labs/Testing & Other","Salary","2001",56750
"788","Engineering, R&D, Labs/Testing & Other","Salary","2002",56497
"789","Engineering, R&D, Labs/Testing & Other","Salary","2003",56745
"790","Engineering, R&D, Labs/Testing & Other","Salary","2004",58567
"791","Engineering, R&D, Labs/Testing & Other","Salary","2005",59765
"792","Engineering, R&D, Labs/Testing & Other","Salary","2006",63724
"793","Engineering, R&D, Labs/Testing & Other","Salary","2007",64346
"794","Engineering, R&D, Labs/Testing & Other","Salary","2008",65096
"795","Engineering, R&D, Labs/Testing & Other","Salary","2009",72540
"796","Engineering, R&D, Labs/Testing & Other","Salary","2010",77589
"797","Engineering, R&D, Labs/Testing & Other","Salary","2011",81051
"798","Engineering, R&D, Labs/Testing & Other","Salary","2012",81638
"799","Engineering, R&D, Labs/Testing & Other","Salary","2013",78499
"800","Engineering, R&D, Labs/Testing & Other","Salary","2014",83539
"801","Engineering, R&D, Labs/Testing & Other","Salary","2015",85557
"802","Engineering, R&D, Labs/Testing & Other","Salary","2016",88424
"803","Engineering, R&D, Labs/Testing & Other","Salary","2017",94540
"804","Engineering, R&D, Labs/Testing & Other","Salary","2018",101052
"805","Engineering, R&D, Labs/Testing & Other","Salary","2019",104066
"806","Engineering, R&D, Labs/Testing & Other","Salary","2020",113573
